cluster1_prop,cluster2_prop,cluster3_prop,cluster4_prop,cluster5_prop,cluster6_prop,cluster7_prop,cluster8_prop,cluster9_prop,cluster10_prop
0.131303401,0.124952795,0.124625307,0.121413862,0.109649382,0.095146986,0.087569038,0.082814565,0.08007665,0.042448015
0.192976038,0.141107451,0.127044951,0.108746793,0.103186217,0.101947295,0.075921175,0.057056028,0.049670592,0.042343458
0.147195767,0.13654321,0.133932981,0.124797178,0.124056437,0.114814815,0.080740741,0.067548501,0.039717813,0.030652557
0.163630823,0.154421723,0.150426598,0.139490791,0.109662784,0.093783857,0.080478061,0.040459101,0.034635699,0.033010563
0.156415344,0.136772487,0.136078042,0.121164021,0.103472222,0.100628307,0.068055556,0.06603836,0.064847884,0.046527778
0.15008325,0.131635032,0.113486513,0.106493506,0.101964702,0.101465201,0.091475191,0.09000999,0.057209457,0.056177156
0.130895749,0.123493027,0.117709739,0.111968623,0.107681062,0.092456703,0.090398673,0.090052857,0.068463225,0.066880342
0.185046729,0.163791722,0.14317757,0.117009346,0.107449933,0.078397864,0.073110814,0.06787717,0.04176235,0.022376502
0.139636364,0.12587013,0.120727273,0.115948052,0.103012987,0.087532468,0.086961039,0.086909091,0.083844156,0.049558442
0.123702069,0.1209495,0.112473769,0.110675061,0.104025291,0.099446761,0.094922737,0.087727905,0.086774044,0.059302864
0.157000346,0.142132695,0.11690507,0.105315729,0.096261958,0.091562192,0.08969253,0.08222669,0.080472282,0.038430509
0.172449042,0.125498452,0.111966885,0.110458879,0.106471267,0.088790154,0.082474748,0.078760399,0.068993786,0.054136388
0.128739225,0.113611822,0.112948754,0.109368192,0.100028417,0.1,0.090053993,0.086691295,0.080894193,0.077664109
0.14604811,0.119301718,0.113833677,0.112898969,0.109402062,0.106108591,0.100258419,0.09612921,0.071997251,0.024021993
0.20825,0.171666667,0.145625,0.133875,0.102791667,0.094416667,0.060375,0.036666667,0.031625,0.014708333
0.185984954,0.172471441,0.154290889,0.102953469,0.094594595,0.081290053,0.076692672,0.054193369,0.045068264,0.032460295
0.155789219,0.152674736,0.127015117,0.095526301,0.094382775,0.083970175,0.079591305,0.076727841,0.072125844,0.062196687
0.147749074,0.144726275,0.135133628,0.131341186,0.096394949,0.094543345,0.076306162,0.072736805,0.066401196,0.034667381