title,museum,beginyear,endyear,medium,dimensions_framed,dimensions,accessionnum,id
"Rouen Cathedral, West Façade",NGA,1894,1894,oil on canvas,121.6 x 88.3 cm,100.1 x 65.9 cm,1963.10.49,rouen_1
"Rouen Cathedral, West Façade, Sunlight",NGA,1894,1894,oil on canvas,127.6 x 91.4 cm,100.1 x 65.8 cm,1963.10.179,rouen_2
"La Cathédrale de Rouen. Le Portail, temps gris",Museum Orsay,1892,1892,oil on canvas,113.2 x 78.9 cm,100.2 x 65.4 cm,RF 1999,rouen_3
La Cathédrale de Rouen. Le Portail vu de face,Museum Orsay,1892,1892,oil on canvas,120 x 87 cm,107.0 x 74.0 cm,RF 2779,rouen_4
"La Cathédrale de Rouen. Le Portail, soleil matinal",Museum Orsay,1893,1893,oil on canvas,103 x 75 cm,92.2 x 63.0 cm,RF 2000,rouen_5
"La Cathédrale de Rouen. Le Portail et la Tour Saint-Romain, plein soleil",Museum Orsay,1893,1893,oil on canvas,119.8 x 86.5 cm,107.0 x 73.5 cm,RF 2002,rouen_6
Rouen Cathedral: setting sun (symphony in grey and pink),Museum Wales,1892,1894,oil on canvas,,100 x 65 cm,NMW A 2482,rouen_7
Rouen Cathedral: Evening,Pushkin Museum,1892,1894,oil on canvas,,100 x 65 cm,,rouen_8
Rouen Cathedral: The portal and the Alban Tower,Pushkin Museum,1893,1894,oil on canvas,,101 x 65 cm,,rouen_9
Rouen Cathedral: The portal,Weimar Museum,1894,1894,oil on canvas,,,G 541,rouen_10
LA CATHÉDRALE DE ROUEN: LE PORTAIL (EFFET DU MATIN),Museum Beyeler,1894,1894,oil on canvas,,107.0 x 74.0 cm,Inv.82.2,rouen_11
"Rouen Cathedral, Façade",MFA,1894,1894,oil on canvas,,100.6 x 66.0 cm,39.671,rouen_12
Rouen Cathedral Façade and Tour d'Albane (Morning Effect),MFA,1894,1894,oil on canvas,,106.1 x 73.9 cm,24.6,rouen_13
The Portal of Rouen Cathedral in Morning Light,Getty Museum,1894,1894,oil on canvas,,100.3 × 65.1 cm,2001.33,rouen_14
"Le portail, brouillard matinal",Museum Folkwang,1894,1894,oil on canvas,,101 x 66 cm,Inv. G 373,rouen_15
Rouen Cathedral: The Portal (Sunlight),MET,1894,1894,oil on canvas,,99.7 x 65.7 cm,30.95.250,rouen_16
"ROUEN CATHEDRAL, THE FAÇADE IN SUNLIGHT",Clark Museum,1892,1894,oil on canvas,,106.7 x 73.7 cm,1967.1,rouen_17
"Cathédrale de Rouen, effet de soleil, fin de journée",Museum Marmottan,1892,1892,oil on canvas,,,,rouen_18